Trip_Distance_km,Traffic_Conditions,Weather,Base_Fare,Trip_Duration_Minutes,Trip_Price
19.35,1.0,1,3.56,53.82,36.2624
36.87,3.0,1,2.7,37.27,52.9032
8.64,2.0,1,2.55,89.33,60.2028
41.79,3.0,1,4.6,86.95,88.13279999999999
9.91,3.0,1,2.32,41.72,28.9914
9.99,3.0,1,4.33,34.0,27.4415
15.91,1.0,1,4.42,114.93,56.716
26.71,1.0,2,4.3,111.18,69.0049
22.17,1.0,1,2.34,57.59,69.6268
30.98,1.0,2,4.5,57.02,44.7782
105.94355003672597,1.0,2,3.94,23.03,201.869509186128
18.95,1.0,1,3.38,54.04,39.2366
23.35,1.0,2,3.59,66.8,33.632000000000005
10.78,3.0,2,3.92,56.07,28.2443
138.09832791310237,2.0,2,2.24,94.86,280.87730155406564
30.03,3.0,1,3.31,83.21,64.7971
3.28,2.0,1,2.88,78.04,24.260800000000003
30.77,1.0,1,3.64,109.6,58.8121
9.36,2.0,1,2.4,7.07,20.7765
47.5,1.0,1,4.39,95.55,57.28
48.32,1.0,1,2.49,67.25,61.5552
40.61,1.0,1,2.31,42.25,54.1018
5.79,1.0,1,4.63,107.07,40.9225
6.98,1.0,1,2.32,72.37,20.791
25.26,3.0,1,3.95,82.53,57.0482
2.69,1.0,1,4.6,97.49,42.9921
33.46,1.0,2,2.23,64.07,30.9982
26.48,2.0,1,2.15,47.97,44.844
27.79,1.0,1,2.77,49.63,44.1197
10.06,2.0,2,2.41,16.0,20.1596
38.98,1.0,1,3.16,15.47,57.0766
44.85,2.0,2,3.83,52.52,41.9343
30.3,1.0,1,4.5,51.65,72.2695
46.17,2.0,1,4.13,83.15,99.8989
3.22,1.0,2,2.83,93.78,37.1504
16.94,2.0,3,3.92,100.24,78.715
14.3,3.0,1,4.99,108.2,59.181
18.48,2.0,1,2.84,106.41,69.6575
146.0670471598387,2.0,1,4.79,60.81,320.958663578238
27.59,2.0,2,2.07,67.33,61.459500000000006
7.91,2.0,1,4.09,110.69,68.3748
40.31,2.0,1,4.18,108.49,71.2142
49.36,3.0,2,4.92,36.56,65.084
38.84,1.0,1,4.93,50.21,69.52810000000001
10.74,2.0,1,2.2,49.59,23.5462
1.27,3.0,1,4.47,37.99,11.3358
35.64,3.0,2,3.94,104.02,36.4388
36.72,1.0,1,2.39,13.03,61.8883
38.79,1.0,1,3.95,82.93,104.2421
4.63,2.0,1,4.95,24.87,18.8626
6.68,2.0,1,3.32,12.08,16.9284
43.29,2.0,2,2.12,36.05,94.2463
31.54,3.0,1,3.09,93.37,87.6076
